id,cmgroup,age,struc
1803,260,2,artproc
1804,260,2,artproc
1805,260,2,artproc
1806,260,2,artproc
1807,260,2,artproc
1808,270,2,artproc
1809,270,3,artproc
1810,270,3,artproc
1811,270,3,artproc
1812,270,2,artproc
1813,290,2,artproc
1814,290,2,artproc
1815,290,2,artproc
1816,160,1,artproc
1817,160,2,artproc
1818,170,1,artproc
1819,170,2,artproc
1820,170,2,artproc
1821,170,1,artproc
1822,170,1,artproc
1823,180,1,artproc
1824,180,1,artproc
1825,230,1,artproc
1826,230,2,artproc
1827,430,4,artproc
1828,430,4,artproc
1829,220,1,artproc
1830,220,1,artproc
1831,170,1,artproc
1832,170,1,artproc
1833,220,2,artproc
1834,220,2,artproc
1835,230,1,artproc
1836,230,1,artproc
1837,230,1,artproc
1838,240,1,artproc
1839,240,2,artproc
1840,240,2,artproc
1841,240,1,artproc
1842,220,2,artproc
1843,220,1,artproc
1844,230,1,artproc
1845,230,1,artproc
1846,270,3,artproc
1847,270,2,artproc
1848,280,2,artproc
1849,280,2,artproc
1850,280,3,artproc
1851,290,2,artproc
1852,290,2,artproc
1853,210,1,artproc
1854,210,2,artproc
1855,220,1,artproc
1856,220,1,artproc
1857,220,2,artproc
1858,220,2,artproc
1859,220,2,artproc
1860,220,2,artproc
1861,220,2,artproc
1862,220,1,artproc
1863,220,2,artproc
1864,220,2,artproc
1865,220,2,artproc
1866,230,1,artproc
1867,230,1,artproc
1868,230,2,artproc
1869,230,2,artproc
1870,230,1,artproc
1871,230,1,artproc
1872,230,1,artproc
1873,230,2,artproc
1874,230,2,artproc
1875,230,2,artproc
1876,230,1,artproc
1877,230,1,artproc
1878,230,1,artproc
1879,240,2,artproc
1880,240,2,artproc
1881,240,2,artproc
1882,240,2,artproc
1883,250,2,artproc
1884,250,1,artproc
1885,250,3,artproc
1886,250,2,artproc
1887,250,1,artproc
1888,250,2,artproc
1889,250,1,artproc
1890,250,1,artproc
1891,260,2,artproc
1892,260,2,artproc
1893,260,1,artproc
1894,260,2,artproc
1895,260,2,artproc
1896,260,2,artproc
1897,260,2,artproc
1898,270,1,artproc
1899,270,2,artproc
1900,270,2,artproc
1901,270,2,artproc
1902,270,2,artproc
1903,270,3,artproc
1904,270,2,artproc
1905,270,2,artproc
1906,270,2,artproc
1907,270,2,artproc
1908,280,2,artproc
1909,280,1,artproc
1910,280,3,artproc
1911,280,2,artproc
1912,280,3,artproc
1913,280,2,artproc
1914,280,2,artproc
1915,280,3,artproc
1916,290,3,artproc
1917,290,2,artproc
1918,290,2,artproc
1919,290,2,artproc
1920,300,2,artproc
1921,300,3,artproc
1922,300,2,artproc
1923,330,3,artproc
1924,330,3,artproc
1925,440,4,artproc
1926,440,3,artproc
1927,440,4,artproc
1928,440,4,artproc
1929,180,1,artproc
1930,180,1,artproc
1931,180,1,artproc
1932,220,1,artproc
1933,220,1,artproc
1934,230,2,artproc
1935,230,1,artproc
1936,250,2,artproc
1937,250,2,artproc
1938,270,3,artproc
1939,270,2,artproc
1940,270,2,artproc
1941,270,2,artproc
1942,280,2,artproc
1943,280,2,artproc
1944,280,2,artproc
1945,290,3,artproc
1946,290,1,artproc
1947,390,3,artproc
1948,390,4,artproc
1949,420,6,artproc
1950,420,3,artproc
1951,220,2,artproc
1952,220,2,artproc
1953,220,1,artproc
1954,220,2,artproc
1955,240,2,artproc
1956,240,2,artproc
1957,170,1,artproc
1958,170,1,artproc
1959,180,1,artproc
1960,180,1,artproc
1961,180,1,artproc
1962,220,3,artproc
1963,220,2,artproc
1964,220,2,artproc
1965,220,1,artproc
1966,220,2,artproc
1967,220,1,artproc
1968,220,2,artproc
1969,220,1,artproc
1970,220,1,artproc
1971,220,1,artproc
